,business_name,category,ratings,years_open,phone_number,full_address,street_address,city,price,stars,num_reviews
0,The Spinnaker - Sausalito,"['Restaurants', 'Banquet Halls & Reception Facilities']","{'rating': '4.0', 'count': '17'}",63,(510) 768-8354,"100 Spinnaker Dr, Sausalito, CA 94965",3211 Grand Ave,"Oakland, CA 94610",$,4.0,17
1,Yang Chow Restaurant,"['Restaurants', 'Asian Restaurants', 'Take Out Restaurants']","{'rating': '4.5', 'count': '8'}",3,(510) 465-4629,"100 Spinnaker Dr, Sausalito, CA 94965",3232 Grand Ave.,"Oakland, CA 94610",$,4.5,8
2,Hunan  Village,"['Restaurants', 'Asian Restaurants', 'Take Out Restaurants']","{'rating': '', 'count': ''}",48,(510) 444-3456,"7986 Tesla Rd, Livermore, CA 94550",2 Broadway,"Oakland, CA 94607",$$,0.0,0
3,Scott's Seafood Jack London Square,"['Restaurants', 'Wedding Supplies & Services', 'American Restaurants']","{'rating': '4.0', 'count': '54'}",14,(510) 654-2681,"601 Main St, Martinez, CA 94553",4218 Piedmont Ave,"Oakland, CA 94611",$$,4.0,54
4,Xyclo Restaurant,"['Restaurants', 'Vietnamese Restaurants', 'Family Style Restaurants']","{'rating': '4.0', 'count': '101'}",37,(510) 652-3676,"601 Main St, Martinez, CA 94553",4293 Piedmont Ave,"Oakland, CA 94611",$$,4.0,101
5,Dopo,"['Restaurants', 'Italian Restaurants', 'Take Out Restaurants']","{'rating': '4.0', 'count': '127'}",2,(510) 653-3902,"5989 Mowry Ave., Newark, CA 94560",3859 Piedmont Ave,"Oakland, CA 94611",$$$$,4.0,127
6,Commis,"['Restaurants', 'American Restaurants', 'Family Style Restaurants']","{'rating': '', 'count': ''}",47,(510) 286-0100,"3232 Grand Ave., Oakland, CA 94610",1900 Telegraph Ave,"Oakland, CA 94612",$$,0.0,0
7,Flora,"['Restaurants', 'American Restaurants']","{'rating': '', 'count': ''}",26,(510) 547-3444,"3211 Grand Ave, Oakland, CA 94610",4001 Piedmont Ave,"Oakland, CA 94611",$$,0.0,0
8,Gregoire Restaurant,"['Restaurants', 'Family Style Restaurants', 'Take Out Restaurants']","{'rating': '', 'count': ''}",24,(510) 985-0990,"1320 19th Hole Dr, Windsor, CA 95492",4184 Piedmont Ave,"Oakland, CA 94611",$$,0.0,0
9,Park Avenue Bar & Grill,"['Restaurants', 'Barbecue Restaurants', 'Bars']","{'rating': '4.0', 'count': '51'}",11,(510) 272-9110,"2301 E Washington St, Petaluma, CA 94954",827 Washington St,"Oakland, CA 94607",$$,4.0,51
10,District,"['Restaurants', 'American Restaurants', 'Bars']","{'rating': '', 'count': ''}",17,(510) 655-6469,"1 Clubhouse Memorial Rd, Alameda, CA 94502",5478 College Ave,"Oakland, CA 94618",$$,0.0,0
11,A Cote Restaurant,"['Restaurants', 'Family Style Restaurants', 'French Restaurants']","{'rating': '4.0', 'count': '93'}",21,(510) 655-7180,"5200 Claremont Ave, Oakland, CA 94618",4162 Piedmont Ave,"Oakland, CA 94611",$,4.0,93
12,Barney's Gourmet Hamburgers,"['Restaurants', 'Hamburgers & Hot Dogs', 'American Restaurants']","{'rating': '4.0', 'count': '13'}",20,(510) 482-4701,,4207 Park Blvd,"Oakland, CA 94602",$,4.0,13
13,Pastino's Pasta & Pizza,"['Restaurants', 'Pizza', 'Caterers']","{'rating': '4.0', 'count': '24'}",11,(510) 547-2252,,4070 Piedmont Ave,"Oakland, CA 94611",$$,4.0,24
14,Baja Taqueria,"['Restaurants', 'Mexican Restaurants', 'Restaurant Delivery Service']","{'rating': '', 'count': ''}",23,(510) 832-7661,,701 Webster St,"Oakland, CA 94607",$$,0.0,0
15,Gourmet Delight Restaurant,"['Restaurants', 'Family Style Restaurants', 'Take Out Restaurants']","{'rating': '4.0', 'count': '124'}",45,(510) 450-0522,,5004 Telegraph Ave,"Oakland, CA 94609",$$,4.0,124
16,Dona Tomas,"['Restaurants', 'Mexican Restaurants', 'Family Style Restaurants']","{'rating': '4.5', 'count': '2'}",35,(510) 261-3325,,1457 Fruitvale Ave,"Oakland, CA 94601",$$,4.5,2
17,El Grullense Restaurant,"['Restaurants', 'Family Style Restaurants', 'Mexican Restaurants']","{'rating': '4.0', 'count': '68'}",32,(510) 985-1200,,4039 Piedmont Ave,"Oakland, CA 94611",$$,4.0,68
18,Bar Cesar,"['Restaurants', 'Tapas', 'Bars']","{'rating': '', 'count': ''}",20,(510) 635-3295,,405 Hegenberger Rd,"Oakland, CA 94621",$$,0.0,0
19,Carrows,"['Restaurants', 'American Restaurants', 'Family Style Restaurants']","{'rating': '4.5', 'count': '23'}",24,(510) 601-6441,,4066 Piedmont Ave,"Oakland, CA 94611",$$$,4.5,23
20,Ninna Restaurant,"['Restaurants', 'Take Out Restaurants', 'Family Style Restaurants']","{'rating': '', 'count': ''}",22,(510) 569-4808,,433 Hegenberger Rd Ste B,"Oakland, CA 94621",$$,0.0,0
21,Le Bistro Restaurant,"['Restaurants', 'Continental Restaurants', 'French Restaurants']","{'rating': '', 'count': ''}",16,(510) 763-0300,,3425 Grand Ave,"Oakland, CA 94610",$,0.0,0
22,Milano Restaurant Oakland,"['Restaurants', 'Family Style Restaurants']","{'rating': '4.0', 'count': '68'}",24,(510) 482-8094,,2220 Mountain Blvd,"Oakland, CA 94611",$,4.0,68
