business_name,category,ratings,years_open,phone_number,full_address,street_address,city,price
"('The Spinnaker - Sausalito', 0)","(['Restaurants', 'Banquet Halls & Reception Facilities'], 0)","('{""rating"":""4.0"",""count"":""17""}', 0)","('63', 0)","('(510) 768-8354', 0)","('100 Spinnaker Dr, Sausalito, CA 94965', 0)","('3211 Grand Ave', 0)","('Oakland, CA 94610', 0)","('$', 0)"
"('Yang Chow Restaurant', 1)","(['Restaurants', 'Asian Restaurants', 'Take Out Restaurants'], 1)","('{""rating"":""4.5"",""count"":""8""}', 1)","('3', 1)","('(510) 465-4629', 1)","('100 Spinnaker Dr, Sausalito, CA 94965', 1)","('3232 Grand Ave.', 1)","('Oakland, CA 94610', 1)","('$', 1)"
"('Hunan  Village', 2)","(['Restaurants', 'Asian Restaurants', 'Take Out Restaurants'], 2)","(""{'rating': '', 'count': ''}"", 2)","('48', 2)","('(510) 444-3456', 2)","('7986 Tesla Rd, Livermore, CA 94550', 2)","('2 Broadway', 2)","('Oakland, CA 94607', 2)","('$$', 2)"
"(""Scott's Seafood Jack London Square"", 3)","(['Restaurants', 'Wedding Supplies & Services', 'American Restaurants'], 3)","('{""rating"":""4.0"",""count"":""54""}', 3)","('14', 3)","('(510) 654-2681', 3)","('601 Main St, Martinez, CA 94553', 3)","('4218 Piedmont Ave', 3)","('Oakland, CA 94611', 3)","('$$', 3)"
"('Xyclo Restaurant', 4)","(['Restaurants', 'Vietnamese Restaurants', 'Family Style Restaurants'], 4)","('{""rating"":""4.0"",""count"":""101""}', 4)","('37', 4)","('(510) 652-3676', 4)","('601 Main St, Martinez, CA 94553', 4)","('4293 Piedmont Ave', 4)","('Oakland, CA 94611', 4)","('$$', 4)"
"('Dopo', 5)","(['Restaurants', 'Italian Restaurants', 'Take Out Restaurants'], 5)","('{""rating"":""4.0"",""count"":""127""}', 5)","('2', 5)","('(510) 653-3902', 5)","('5989 Mowry Ave., Newark, CA 94560', 5)","('3859 Piedmont Ave', 5)","('Oakland, CA 94611', 5)","('$$$$', 5)"
"('Commis', 6)","(['Restaurants', 'American Restaurants', 'Family Style Restaurants'], 6)","(""{'rating': '', 'count': ''}"", 6)","('47', 6)","('(510) 286-0100', 6)","('3232 Grand Ave., Oakland, CA 94610', 6)","('1900 Telegraph Ave', 6)","('Oakland, CA 94612', 6)","('$$', 6)"
"('Flora', 7)","(['Restaurants', 'American Restaurants'], 7)","(""{'rating': '', 'count': ''}"", 7)","('26', 7)","('(510) 547-3444', 7)","('3211 Grand Ave, Oakland, CA 94610', 7)","('4001 Piedmont Ave', 7)","('Oakland, CA 94611', 7)","('$$', 7)"
"('Gregoire Restaurant', 8)","(['Restaurants', 'Family Style Restaurants', 'Take Out Restaurants'], 8)","(""{'rating': '', 'count': ''}"", 8)","('24', 8)","('(510) 985-0990', 8)","('1320 19th Hole Dr, Windsor, CA 95492', 8)","('4184 Piedmont Ave', 8)","('Oakland, CA 94611', 8)","('$$', 8)"
"('Park Avenue Bar & Grill', 9)","(['Restaurants', 'Barbecue Restaurants', 'Bars'], 9)","('{""rating"":""4.0"",""count"":""51""}', 9)","('11', 9)","('(510) 272-9110', 9)","('2301 E Washington St, Petaluma, CA 94954', 9)","('827 Washington St', 9)","('Oakland, CA 94607', 9)","('$$', 9)"
"('District', 10)","(['Restaurants', 'American Restaurants', 'Bars'], 10)","(""{'rating': '', 'count': ''}"", 10)","('17', 10)","('(510) 655-6469', 10)","('1 Clubhouse Memorial Rd, Alameda, CA 94502', 10)","('5478 College Ave', 10)","('Oakland, CA 94618', 10)","('$$', 10)"
"('A Cote Restaurant', 11)","(['Restaurants', 'Family Style Restaurants', 'French Restaurants'], 11)","('{""rating"":""4.0"",""count"":""93""}', 11)","('21', 11)","('(510) 655-7180', 11)","('5200 Claremont Ave, Oakland, CA 94618', 11)","('4162 Piedmont Ave', 11)","('Oakland, CA 94611', 11)","('$', 11)"
"(""Barney's Gourmet Hamburgers"", 12)","(['Restaurants', 'Hamburgers & Hot Dogs', 'American Restaurants'], 12)","('{""rating"":""4.0"",""count"":""13""}', 12)","('20', 12)","('(510) 482-4701', 12)","(None, 12)","('4207 Park Blvd', 12)","('Oakland, CA 94602', 12)","('$', 12)"
"(""Pastino's Pasta & Pizza"", 13)","(['Restaurants', 'Pizza', 'Caterers'], 13)","('{""rating"":""4.0"",""count"":""24""}', 13)","('11', 13)","('(510) 547-2252', 13)","(None, 13)","('4070 Piedmont Ave', 13)","('Oakland, CA 94611', 13)","('$$', 13)"
"('Baja Taqueria', 14)","(['Restaurants', 'Mexican Restaurants', 'Restaurant Delivery Service'], 14)","(""{'rating': '', 'count': ''}"", 14)","('23', 14)","('(510) 832-7661', 14)","(None, 14)","('701 Webster St', 14)","('Oakland, CA 94607', 14)","('$$', 14)"
"('Gourmet Delight Restaurant', 15)","(['Restaurants', 'Family Style Restaurants', 'Take Out Restaurants'], 15)","('{""rating"":""4.0"",""count"":""124""}', 15)","('45', 15)","('(510) 450-0522', 15)","(None, 15)","('5004 Telegraph Ave', 15)","('Oakland, CA 94609', 15)","('$$', 15)"
"('Dona Tomas', 16)","(['Restaurants', 'Mexican Restaurants', 'Family Style Restaurants'], 16)","('{""rating"":""4.5"",""count"":""2""}', 16)","('35', 16)","('(510) 261-3325', 16)","(None, 16)","('1457 Fruitvale Ave', 16)","('Oakland, CA 94601', 16)","('$$', 16)"
